id|profile_id|level|message|timestamp
9483|ad48bf20-191|info|Initializing AlpacaStockProvider|2026-03-05T16:02:47
9484|ad48bf20-191|info|Alpaca clients initialized successfully|2026-03-05T16:02:47
9485|ad48bf20-191|info|Fetching 1d bars for VIXY: 2020-02-05 to 2026-03-05|2026-03-05T16:02:47
9486|ad48bf20-191|info|  Page 1: fetching from 2020-02-05 15:05 (attempt 1/3)|2026-03-05T16:02:47
9487|ad48bf20-191|info|  Page 1: got 1527 bars (2020-02-06 05:00:00+00:00 to 2026-03-05 05:00:00+00:00)|2026-03-05T16:02:48
9488|ad48bf20-191|info|Completed: 1527 total bars for VIXY in 1.1s (1 pages)|2026-03-05T16:02:48
9489|ad48bf20-191|info|Fetching 1d bars for VIXM: 2020-02-05 to 2026-03-05|2026-03-05T16:02:48
9490|ad48bf20-191|info|  Page 1: fetching from 2020-02-05 15:05 (attempt 1/3)|2026-03-05T16:02:48
9491|ad48bf20-191|info|  Page 1: got 1527 bars (2020-02-06 05:00:00+00:00 to 2026-03-05 05:00:00+00:00)|2026-03-05T16:02:49
9492|ad48bf20-191|info|Completed: 1527 total bars for VIXM in 0.2s (1 pages)|2026-03-05T16:02:49
9493|ad48bf20-191|info|VIX daily bars fetched: 1527 days (VIXY+VIXM) in 1.3s|2026-03-05T16:02:49
9494|ad48bf20-191|info|Computing base features: 281198 bars|2026-03-05T16:02:49
9495|ad48bf20-191|info|Computing stock features for 281198 bars (bars_per_day=78)|2026-03-05T16:02:49
9496|ad48bf20-191|info|Stock features computed: 44 features added|2026-03-05T16:02:55
9497|ad48bf20-191|info|Computing options features from 1483 daily rows|2026-03-05T16:02:55
9498|ad48bf20-191|info|2nd order Greeks computed: vanna, vomma, charm, speed (call + put)|2026-03-05T16:02:56
9499|ad48bf20-191|info|Options features merged. Total columns: 75|2026-03-05T16:02:56
9500|ad48bf20-191|info|Computing VIX features from VIXY/VIXM data|2026-03-05T16:02:56
9501|ad48bf20-191|info|VIX features added: vix_level, vix_term_structure, vix_change_5d|2026-03-05T16:02:56
9502|ad48bf20-191|info|Base features complete: 73 features total|2026-03-05T16:02:56
9503|ad48bf20-191|info|Computing swing-specific features (BARS_PER_DAY=78)|2026-03-05T16:02:56
9504|ad48bf20-191|info|Swing features computed: 5 features added|2026-03-05T16:02:56
9505|ad48bf20-191|info|Features computed in 10.7s: 78/78 features present|2026-03-05T16:02:57
9506|ad48bf20-191|info|Step 2 complete: features computed in 11s|2026-03-05T16:02:57
9507|ad48bf20-191|info|None|2026-03-05T16:02:57
9508|ad48bf20-191|info|STEP 3: Calculating forward return target|2026-03-05T16:02:57
9509|ad48bf20-191|info|--------------------------------------------------|2026-03-05T16:02:57
9510|ad48bf20-191|info|Target calculated: 281120/281198 bars have valid targets|2026-03-05T16:02:57
9511|ad48bf20-191|info|None|2026-03-05T16:02:57
9512|ad48bf20-191|info|STEP 4: Preparing training data|2026-03-05T16:02:57
9513|ad48bf20-191|info|--------------------------------------------------|2026-03-05T16:02:57
9514|ad48bf20-191|info|Training dataset: 281120 samples, 78 features|2026-03-05T16:02:57
9515|ad48bf20-191|info|Target stats: mean=0.0506%, std=3.1172%|2026-03-05T16:02:57
9516|ad48bf20-191|info|None|2026-03-05T16:02:57
9517|ad48bf20-191|info|STEP 5: Walk-forward cross-validation (LightGBM)|2026-03-05T16:02:57
9518|ad48bf20-191|info|--------------------------------------------------|2026-03-05T16:02:57
9519|ad48bf20-191|info|  Fold 1/5: train=46853 test=46853 MAE=1.2007 RMSE=1.6832 R²=0.5064 DirAcc=0.7282|2026-03-05T16:03:01
9520|ad48bf20-191|info|  Fold 2/5: train=93706 test=46853 MAE=1.3626 RMSE=3.2531 R²=0.2713 DirAcc=0.7524|2026-03-05T16:03:07
9522|ad48bf20-191|info|  Fold 3/5: train=140559 test=46853 MAE=1.5747 RMSE=2.5769 R²=-0.8516 DirAcc=0.6761|2026-03-05T16:03:17
9523|ad48bf20-191|info|  Fold 4/5: train=187412 test=46853 MAE=1.0179 RMSE=1.5889 R²=0.6042 DirAcc=0.7719|2026-03-05T16:03:28
9524|ad48bf20-191|info|  Fold 5/5: train=234265 test=46853 MAE=1.0244 RMSE=1.5490 R²=0.5419 DirAcc=0.7644|2026-03-05T16:03:40
9525|ad48bf20-191|info|Step 5 complete: CV in 43s|2026-03-05T16:03:41
9526|ad48bf20-191|info|CHECKPOINT: Directional Accuracy = 0.7386|2026-03-05T16:03:41
9527|ad48bf20-191|info|None|2026-03-05T16:03:41
9528|ad48bf20-191|info|STEP 6: Training final LightGBM model on all data|2026-03-05T16:03:41
9529|ad48bf20-191|info|--------------------------------------------------|2026-03-05T16:03:41
9530|ad48bf20-191|info|Step 6 complete: final LightGBM trained in 16s|2026-03-05T16:03:56
9531|ad48bf20-191|info|None|2026-03-05T16:03:56
9532|ad48bf20-191|info|STEP 7: Saving LightGBM model to disk|2026-03-05T16:03:56
9533|ad48bf20-191|info|--------------------------------------------------|2026-03-05T16:03:56
9534|ad48bf20-191|info|Saving LightGBM model to C:\Trading Bot v2\Options-Bot\options-bot\models\ad48bf20-1913-4f40-b028-0580c9f48168_lgbm_TSLA_c491a669.joblib|2026-03-05T16:03:56
9535|ad48bf20-191|info|LightGBM saved: C:\Trading Bot v2\Options-Bot\options-bot\models\ad48bf20-1913-4f40-b028-0580c9f48168_lgbm_TSLA_c491a669.joblib|2026-03-05T16:03:56
9536|ad48bf20-191|info|Top 10 features by importance:|2026-03-05T16:03:56
9537|ad48bf20-191|info|  hour_of_day: 1234.0000|2026-03-05T16:03:56
9538|ad48bf20-191|info|  gap_from_prev_close: 1177.0000|2026-03-05T16:03:56
9539|ad48bf20-191|info|  intraday_return: 894.0000|2026-03-05T16:03:56
9540|ad48bf20-191|info|  iv_skew: 612.0000|2026-03-05T16:03:56
9541|ad48bf20-191|info|  rvol_5d: 415.0000|2026-03-05T16:03:56
9542|ad48bf20-191|info|  rvol_10d: 393.0000|2026-03-05T16:03:56
9543|ad48bf20-191|info|  rvol_20d: 375.0000|2026-03-05T16:03:56
9544|ad48bf20-191|info|  vix_change_5d: 372.0000|2026-03-05T16:03:56
9545|ad48bf20-191|info|  put_call_vol_ratio: 365.0000|2026-03-05T16:03:56
9546|ad48bf20-191|info|  atm_call_spread_pct: 364.0000|2026-03-05T16:03:56
9547|ad48bf20-191|info|None|2026-03-05T16:03:56
9548|ad48bf20-191|info|STEP 8: Saving metrics to database|2026-03-05T16:03:56
9549|ad48bf20-191|info|--------------------------------------------------|2026-03-05T16:03:56
9550|ad48bf20-191|info|Model and profile updated in database|2026-03-05T16:03:56
9551|ad48bf20-191|info|None|2026-03-05T16:03:56
9552|ad48bf20-191|info|======================================================================|2026-03-05T16:03:56
9553|ad48bf20-191|info|LIGHTGBM TRAINING PIPELINE COMPLETE|2026-03-05T16:03:56
9554|ad48bf20-191|info|======================================================================|2026-03-05T16:03:56
9555|ad48bf20-191|info|  Model ID:     c491a669-767a-4492-8727-24be96552558|2026-03-05T16:03:56
9556|ad48bf20-191|info|  Model Path:   C:\Trading Bot v2\Options-Bot\options-bot\models\ad48bf20-1913-4f40-b028-0580c9f48168_lgbm_TSLA_c491a669.joblib|2026-03-05T16:03:56
9557|ad48bf20-191|info|  Symbol:       TSLA|2026-03-05T16:03:56
9558|ad48bf20-191|info|  Preset:       swing|2026-03-05T16:03:56
9559|ad48bf20-191|info|  Data Range:   2020-02-05 to 2026-03-05|2026-03-05T16:03:56
9560|ad48bf20-191|info|  Training Samples: 281120|2026-03-05T16:03:57
9561|ad48bf20-191|info|  Features:     78|2026-03-05T16:03:57
9562|ad48bf20-191|info|  MAE:          1.2360|2026-03-05T16:03:57
9563|ad48bf20-191|info|  RMSE:         2.1302|2026-03-05T16:03:57
9564|ad48bf20-191|info|  R²:           0.2145|2026-03-05T16:03:57
9565|ad48bf20-191|info|  Dir Accuracy: 0.7386|2026-03-05T16:03:57
9566|ad48bf20-191|info|  Total Time:   119s (2.0min)|2026-03-05T16:03:57
9567|ad48bf20-191|info|======================================================================|2026-03-05T16:03:57
9568|ad48bf20-191|info|_lgbm_train_job: completed for profile=ad48bf20-1913-4f40-b028-0580c9f48168 model_id=c491a669-767a-4492-8727-24be96552558 dir_acc=0.7386|2026-03-05T16:03:57
9569|ad48bf20-191|info|Loading LightGBM model from C:\Trading Bot v2\Options-Bot\options-bot\models\ad48bf20-1913-4f40-b028-0580c9f48168_lgbm_TSLA_c491a669.joblib|2026-03-05T16:03:57
9570|ad48bf20-191|info|LightGBM loaded: 78 features, type=LGBMRegressor|2026-03-05T16:03:57
9571|ad48bf20-191|info|_extract_and_persist_importance: stored top 30 features for model_id=c491a669-767a-4492-8727-24be96552558|2026-03-05T16:03:57
560548|ac3ff5ea-f8a|info|======================================================================|2026-03-11T22:37:23
560549|ac3ff5ea-f8a|info|SCALP CLASSIFIER TRAINING PIPELINE START|2026-03-11T22:37:23
560550|ac3ff5ea-f8a|info|  Profile:  ac3ff5ea-f8a8-4046-af54-d52efe8ec7f4|2026-03-11T22:37:23
560551|ac3ff5ea-f8a|info|  Symbol:   SPY|2026-03-11T22:37:23
560552|ac3ff5ea-f8a|info|  Preset:   scalp|2026-03-11T22:37:23
560553|ac3ff5ea-f8a|info|  Horizon:  30min (30 bars @ 1-min)|2026-03-11T22:37:23
560554|ac3ff5ea-f8a|info|  Neutral band: +/-0.05%|2026-03-11T22:37:23
560555|ac3ff5ea-f8a|info|  Years:    6|2026-03-11T22:37:23
560556|ac3ff5ea-f8a|info|  Model ID: 0e9fd3c0-9396-4e52-9c03-f4f003279413|2026-03-11T22:37:23
560557|ac3ff5ea-f8a|info|======================================================================|2026-03-11T22:37:23
560558|ac3ff5ea-f8a|info|None|2026-03-11T22:37:23
560559|ac3ff5ea-f8a|info|STEP 1: Fetching historical 1-min bars from Alpaca|2026-03-11T22:37:23
560560|ac3ff5ea-f8a|info|--------------------------------------------------|2026-03-11T22:37:23
560561|ac3ff5ea-f8a|info|Initializing AlpacaStockProvider|2026-03-11T22:37:23
560562|ac3ff5ea-f8a|info|Alpaca clients initialized successfully|2026-03-11T22:37:23
560563|ac3ff5ea-f8a|info|Fetching 1min bars for SPY: 2020-02-11 to 2026-03-11|2026-03-11T22:37:23
560564|ac3ff5ea-f8a|info|  Page 1: fetching from 2020-02-11 17:37 (attempt 1/3)|2026-03-11T22:37:23
560565|ac3ff5ea-f8a|info|  Page 1: got 10000 bars (2020-02-11 17:38:00+00:00 to 2020-02-28 16:59:00+00:00)|2026-03-11T22:37:25
560566|ac3ff5ea-f8a|info|  Page 2: fetching from 2020-02-28 16:59 (attempt 1/3)|2026-03-11T22:37:25
560567|ac3ff5ea-f8a|info|  Page 2: got 10000 bars (2020-02-28 17:00:00+00:00 to 2020-03-16 14:57:00+00:00)|2026-03-11T22:37:25
560568|ac3ff5ea-f8a|info|  Page 3: fetching from 2020-03-16 14:57 (attempt 1/3)|2026-03-11T22:37:25
560569|ac3ff5ea-f8a|info|  Page 3: got 10000 bars (2020-03-16 14:58:00+00:00 to 2020-03-31 11:10:00+00:00)|2026-03-11T22:37:26
560570|ac3ff5ea-f8a|info|  Page 4: fetching from 2020-03-31 11:10 (attempt 1/3)|2026-03-11T22:37:26
560571|ac3ff5ea-f8a|info|  Page 4: got 10000 bars (2020-03-31 11:11:00+00:00 to 2020-04-15 23:28:00+00:00)|2026-03-11T22:37:27
560572|ac3ff5ea-f8a|info|  Page 5: fetching from 2020-04-15 23:28 (attempt 1/3)|2026-03-11T22:37:27
560573|ac3ff5ea-f8a|info|  Page 5: got 10000 bars (2020-04-15 23:29:00+00:00 to 2020-05-01 09:48:00+00:00)|2026-03-11T22:37:27
560574|ac3ff5ea-f8a|info|  Page 6: fetching from 2020-05-01 09:48 (attempt 1/3)|2026-03-11T22:37:27
560575|ac3ff5ea-f8a|info|  Page 6: got 10000 bars (2020-05-01 09:49:00+00:00 to 2020-05-18 15:30:00+00:00)|2026-03-11T22:37:28
560576|ac3ff5ea-f8a|info|  Page 7: fetching from 2020-05-18 15:30 (attempt 1/3)|2026-03-11T22:37:28
560577|ac3ff5ea-f8a|info|  Page 7: got 10000 bars (2020-05-18 15:31:00+00:00 to 2020-06-03 19:33:00+00:00)|2026-03-11T22:37:28
560578|ac3ff5ea-f8a|info|  Page 8: fetching from 2020-06-03 19:33 (attempt 1/3)|2026-03-11T22:37:28
560579|ac3ff5ea-f8a|info|  Page 8: got 10000 bars (2020-06-03 19:34:00+00:00 to 2020-06-18 20:27:00+00:00)|2026-03-11T22:37:29
560580|ac3ff5ea-f8a|info|  Page 9: fetching from 2020-06-18 20:27 (attempt 1/3)|2026-03-11T22:37:29
560581|ac3ff5ea-f8a|info|  Page 9: got 10000 bars (2020-06-18 20:28:00+00:00 to 2020-07-07 11:25:00+00:00)|2026-03-11T22:37:30
