file,symbol_type,symbol_name,line
options-bot/data/options_data_fetcher.py,FunctionDef,_bs_price,50
options-bot/data/options_data_fetcher.py,FunctionDef,_fetch_eod_batch,129
options-bot/data/options_data_fetcher.py,FunctionDef,_implied_vol,64
options-bot/data/options_data_fetcher.py,FunctionDef,_pick_expiration_for_period,108
options-bot/data/options_data_fetcher.py,FunctionDef,_process_eod_day,182
options-bot/data/options_data_fetcher.py,FunctionDef,_third_friday,98
options-bot/data/options_data_fetcher.py,FunctionDef,fetch_options_for_training,328
options-bot/data/provider.py,ClassDef,OptionsDataProvider,58
options-bot/data/provider.py,ClassDef,StockDataProvider,20
options-bot/data/provider.py,FunctionDef,get_bulk_greeks_eod,151
options-bot/data/provider.py,FunctionDef,get_expirations,62
options-bot/data/provider.py,FunctionDef,get_historical_bars,24
options-bot/data/provider.py,FunctionDef,get_historical_eod,131
options-bot/data/provider.py,FunctionDef,get_historical_greeks,82
options-bot/data/provider.py,FunctionDef,get_historical_ohlc,111
options-bot/data/provider.py,FunctionDef,get_latest_price,48
options-bot/data/provider.py,FunctionDef,get_strikes,72
options-bot/data/provider.py,FunctionDef,test_connection,53
options-bot/data/provider.py,FunctionDef,test_connection,170
options-bot/data/theta_provider.py,ClassDef,ThetaOptionsProvider,46
options-bot/data/theta_provider.py,FunctionDef,__init__,49
options-bot/data/theta_provider.py,FunctionDef,_format_date,156
options-bot/data/theta_provider.py,FunctionDef,_format_strike,161
options-bot/data/theta_provider.py,FunctionDef,_parse_csv_response,123
options-bot/data/theta_provider.py,FunctionDef,_request,53
options-bot/data/theta_provider.py,FunctionDef,get_bulk_greeks_eod,425
options-bot/data/theta_provider.py,FunctionDef,get_expirations,165
options-bot/data/theta_provider.py,FunctionDef,get_historical_eod,392
options-bot/data/theta_provider.py,FunctionDef,get_historical_greeks,268
options-bot/data/theta_provider.py,FunctionDef,get_historical_ohlc,336
options-bot/data/theta_provider.py,FunctionDef,get_strikes,227
options-bot/data/theta_provider.py,FunctionDef,test_connection,478
options-bot/data/validator.py,FunctionDef,_check_bar_count,63
options-bot/data/validator.py,FunctionDef,_check_daily_completeness,231
options-bot/data/validator.py,FunctionDef,_check_data_depth,78
options-bot/data/validator.py,FunctionDef,_check_gaps,109
options-bot/data/validator.py,FunctionDef,_check_ohlcv_quality,159
options-bot/data/validator.py,FunctionDef,validate_all_symbols,436
options-bot/data/validator.py,FunctionDef,validate_symbol_data,266
options-bot/data/vix_provider.py,ClassDef,VIXProvider,33
options-bot/data/vix_provider.py,FunctionDef,__init__,39
options-bot/data/vix_provider.py,FunctionDef,fetch_vix_daily_bars,123
options-bot/data/vix_provider.py,FunctionDef,get_current_vix,45
options-bot/main.py,AsyncFunctionDef,_load,221
options-bot/main.py,FunctionDef,_get_strategy_class,285
options-bot/main.py,FunctionDef,_kill_existing_on_port,162
options-bot/main.py,FunctionDef,_print_startup_banner,113
options-bot/main.py,FunctionDef,_run,194
options-bot/main.py,FunctionDef,_shutdown_handler,86
options-bot/main.py,FunctionDef,load_profile_from_db,210
options-bot/main.py,FunctionDef,main,425
options-bot/main.py,FunctionDef,start_backend,184
options-bot/main.py,FunctionDef,start_trading_multi,358
options-bot/main.py,FunctionDef,start_trading_single,309
options-bot/ml/ensemble_predictor.py,AsyncFunctionDef,_save_to_db,729
options-bot/ml/ensemble_predictor.py,ClassDef,EnsemblePredictor,35
options-bot/ml/ensemble_predictor.py,FunctionDef,__init__,51
options-bot/ml/ensemble_predictor.py,FunctionDef,get_feature_importance,299
options-bot/ml/ensemble_predictor.py,FunctionDef,get_feature_names,295
options-bot/ml/ensemble_predictor.py,FunctionDef,load,72
options-bot/ml/ensemble_predictor.py,FunctionDef,predict,171
options-bot/ml/ensemble_predictor.py,FunctionDef,predict_batch,274
options-bot/ml/ensemble_predictor.py,FunctionDef,save,122
options-bot/ml/ensemble_predictor.py,FunctionDef,train_meta_learner,354
options-bot/ml/ev_filter.py,ClassDef,EVCandidate,27
options-bot/ml/ev_filter.py,FunctionDef,_estimate_delta,163
options-bot/ml/ev_filter.py,FunctionDef,get_implied_move_pct,43
options-bot/ml/ev_filter.py,FunctionDef,scan_chain_for_best_ev,202
options-bot/ml/feature_engineering/base_features.py,FunctionDef,compute_base_features,428
options-bot/ml/feature_engineering/base_features.py,FunctionDef,compute_options_features,203
options-bot/ml/feature_engineering/base_features.py,FunctionDef,compute_stock_features,30
options-bot/ml/feature_engineering/base_features.py,FunctionDef,get_base_feature_names,549
options-bot/ml/feature_engineering/general_features.py,FunctionDef,compute_general_features,17
options-bot/ml/feature_engineering/general_features.py,FunctionDef,get_general_feature_names,81
options-bot/ml/feature_engineering/scalp_features.py,FunctionDef,compute_scalp_features,21
options-bot/ml/feature_engineering/scalp_features.py,FunctionDef,get_scalp_feature_names,175
options-bot/ml/feature_engineering/swing_features.py,FunctionDef,compute_swing_features,17
options-bot/ml/feature_engineering/swing_features.py,FunctionDef,get_swing_feature_names,89
options-bot/ml/feedback_queue.py,FunctionDef,consume_pending_samples,57
options-bot/ml/feedback_queue.py,FunctionDef,enqueue_completed_sample,20
options-bot/ml/incremental_trainer.py,AsyncFunctionDef,_load,97
options-bot/ml/incremental_trainer.py,AsyncFunctionDef,_load,123
options-bot/ml/incremental_trainer.py,AsyncFunctionDef,_save,168
options-bot/ml/incremental_trainer.py,FunctionDef,_get_profile_model_id,116
options-bot/ml/incremental_trainer.py,FunctionDef,_load_model_record,88
options-bot/ml/incremental_trainer.py,FunctionDef,_run_async,69
options-bot/ml/incremental_trainer.py,FunctionDef,_save_incremental_model_to_db,144
options-bot/ml/incremental_trainer.py,FunctionDef,retrain_incremental,246
options-bot/ml/lgbm_predictor.py,ClassDef,LightGBMPredictor,22
options-bot/ml/lgbm_predictor.py,FunctionDef,__init__,25
options-bot/ml/lgbm_predictor.py,FunctionDef,get_feature_importance,89
options-bot/ml/lgbm_predictor.py,FunctionDef,get_feature_names,85
options-bot/ml/lgbm_predictor.py,FunctionDef,load,31
options-bot/ml/lgbm_predictor.py,FunctionDef,predict,58
options-bot/ml/lgbm_predictor.py,FunctionDef,predict_batch,76
options-bot/ml/lgbm_predictor.py,FunctionDef,save,42
options-bot/ml/lgbm_predictor.py,FunctionDef,set_model,53
options-bot/ml/lgbm_trainer.py,AsyncFunctionDef,_save_to_db,335
options-bot/ml/lgbm_trainer.py,FunctionDef,_run_async,302
options-bot/ml/lgbm_trainer.py,FunctionDef,_walk_forward_cv_lgbm,37
options-bot/ml/lgbm_trainer.py,FunctionDef,train_lgbm_model,120
options-bot/ml/liquidity_filter.py,ClassDef,LiquidityResult,20
options-bot/ml/liquidity_filter.py,FunctionDef,check_liquidity,28
options-bot/ml/liquidity_filter.py,FunctionDef,fetch_option_snapshot,128
options-bot/ml/predictor.py,ClassDef,ModelPredictor,12
options-bot/ml/predictor.py,FunctionDef,get_feature_importance,48
options-bot/ml/predictor.py,FunctionDef,get_feature_names,43
options-bot/ml/predictor.py,FunctionDef,predict,16
options-bot/ml/predictor.py,FunctionDef,predict_batch,30
options-bot/ml/regime_adjuster.py,FunctionDef,adjust_prediction_confidence,37
options-bot/ml/scalp_predictor.py,ClassDef,ScalpPredictor,33
options-bot/ml/scalp_predictor.py,FunctionDef,__init__,36
options-bot/ml/scalp_predictor.py,FunctionDef,_binary_to_signed_confidence,177
options-bot/ml/scalp_predictor.py,FunctionDef,_calibrate_p_up,148
options-bot/ml/scalp_predictor.py,FunctionDef,_legacy_proba_to_signed_confidence,195
options-bot/ml/scalp_predictor.py,FunctionDef,get_avg_30min_move_pct,170
options-bot/ml/scalp_predictor.py,FunctionDef,get_feature_importance,163
options-bot/ml/scalp_predictor.py,FunctionDef,get_feature_names,159
options-bot/ml/scalp_predictor.py,FunctionDef,load,46
options-bot/ml/scalp_predictor.py,FunctionDef,predict,97
options-bot/ml/scalp_predictor.py,FunctionDef,predict_batch,128
options-bot/ml/scalp_predictor.py,FunctionDef,save,67
options-bot/ml/scalp_predictor.py,FunctionDef,set_model,92
options-bot/ml/scalp_trainer.py,AsyncFunctionDef,_save_to_db,795
options-bot/ml/scalp_trainer.py,FunctionDef,_calculate_binary_target,115
options-bot/ml/scalp_trainer.py,FunctionDef,_compute_all_features,61
options-bot/ml/scalp_trainer.py,FunctionDef,_get_feature_names,56
options-bot/ml/scalp_trainer.py,FunctionDef,_optuna_optimize_classifier,149
options-bot/ml/scalp_trainer.py,FunctionDef,_run_async,743
options-bot/ml/scalp_trainer.py,FunctionDef,_subsample_strided,135
options-bot/ml/scalp_trainer.py,FunctionDef,_walk_forward_cv_classifier,235
